Time;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;3990;3990;3990;3990;3990;3990;3990;3990;3990;H2O;H2O;4110;4110;4110;4110;4110;4110;4110;4110;4110;4170;4170;4170;4170;4170;4170;4170;4170;4170;H2O;H2O;4171;4171;4171;4171;4171;4171;4171;4171;4171;4172;4172;4172;4172;4172;4172;4172;4172;4172;H2O;H2O;4173;4173;4173;4173;4173;4173;4173;4173;4173;4174;4174;4174;4174;4174;4174;4174;4174;4174;H2O;H2O;4175;4175;4175;4175;4175;4175;4175;4175;4175;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;4136;4136;4136;4136;4136;4136;4136;4136;4136;H2O;H2O;H2O
Label;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;H2O;Base;Base;Base;Base ile;Base ile;Base ile;Base ile suc;Base ile suc;Base ile suc;H2O;H2O;H2O
17.75;0.068;0.07;0.069;0.07;0.069;0.071;0.067;0.067;0.068;0.07;0.071;0.068;0.071;0.07;0.07;0.07;0.395;0.347;0.347;0.067;0.069;0.067;0.069;0.069;0.068;0.07;0.07;0.399;0.404;0.393;0.068;0.068;0.069;0.069;0.07;0.068;0.432;0.427;0.425;0.07;0.07;0.069;0.07;0.07;0.071;0.07;0.071;0.592;0.58;0.602;0.068;0.069;0.071;0.07;0.07;0.07;0.622;0.533;0.59;0.068;0.072;0.07;0.07;0.069;0.071;0.07;0.07;0.611;0.594;0.607;0.069;0.071;0.071;0.069;0.069;0.073;0.667;0.654;0.629;0.068;0.067;0.07;0.069;0.069;0.069;0.067;0.07;0.54;0.534;0.528;0.066;0.068;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.066;0.068;0.067;0.068;0.068;0.068;0.086;0.7;0.688;0.693;0.067;0.068;0.069
18;0.068;0.07;0.069;0.07;0.07;0.07;0.067;0.067;0.067;0.07;0.07;0.069;0.07;0.069;0.069;0.07;0.378;0.329;0.33;0.067;0.069;0.067;0.069;0.069;0.069;0.071;0.069;0.423;0.431;0.405;0.068;0.068;0.069;0.07;0.07;0.068;0.431;0.426;0.424;0.07;0.072;0.07;0.07;0.071;0.07;0.07;0.072;0.578;0.587;0.591;0.068;0.069;0.071;0.07;0.069;0.07;0.605;0.532;0.573;0.068;0.072;0.071;0.07;0.071;0.07;0.07;0.07;0.597;0.591;0.596;0.068;0.069;0.07;0.069;0.068;0.073;0.654;0.645;0.611;0.068;0.067;0.07;0.07;0.07;0.068;0.067;0.068;0.515;0.522;0.503;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.073;0.081;0.092;0.067;0.067;0.067;0.068;0.069;0.068;0.085;0.683;0.677;0.674;0.067;0.069;0.069
18.25;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.07;0.071;0.068;0.07;0.069;0.07;0.07;0.433;0.377;0.38;0.067;0.068;0.067;0.068;0.069;0.068;0.071;0.071;0.458;0.454;0.444;0.069;0.069;0.07;0.069;0.07;0.068;0.43;0.426;0.426;0.069;0.069;0.069;0.069;0.07;0.071;0.07;0.071;0.601;0.582;0.593;0.068;0.069;0.071;0.069;0.069;0.07;0.637;0.554;0.613;0.068;0.073;0.07;0.07;0.07;0.07;0.07;0.07;0.612;0.596;0.613;0.069;0.071;0.07;0.068;0.069;0.072;0.674;0.659;0.637;0.068;0.066;0.07;0.07;0.069;0.069;0.067;0.07;0.509;0.505;0.493;0.066;0.068;0.065;0.064;0.064;0.065;0.066;0.071;0.067;0.082;0.066;0.072;0.07;0.07;0.069;0.069;0.085;0.704;0.695;0.711;0.067;0.075;0.069
18.5;0.068;0.07;0.069;0.07;0.071;0.07;0.068;0.067;0.067;0.069;0.07;0.068;0.071;0.071;0.07;0.071;0.461;0.405;0.411;0.067;0.069;0.067;0.07;0.07;0.069;0.071;0.07;0.492;0.501;0.489;0.068;0.068;0.069;0.069;0.07;0.069;0.428;0.423;0.422;0.07;0.071;0.07;0.07;0.072;0.07;0.07;0.071;0.564;0.574;0.569;0.067;0.068;0.071;0.07;0.069;0.07;0.605;0.524;0.568;0.068;0.072;0.071;0.071;0.071;0.071;0.071;0.07;0.596;0.588;0.598;0.069;0.071;0.07;0.069;0.068;0.073;0.656;0.655;0.616;0.068;0.067;0.07;0.07;0.069;0.068;0.067;0.068;0.497;0.505;0.485;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.067;0.068;0.067;0.069;0.069;0.069;0.085;0.701;0.698;0.706;0.068;0.069;0.069
18.75;0.068;0.071;0.069;0.07;0.069;0.071;0.068;0.067;0.067;0.07;0.07;0.068;0.071;0.071;0.069;0.07;0.514;0.456;0.478;0.066;0.07;0.067;0.069;0.07;0.069;0.069;0.07;0.525;0.537;0.525;0.068;0.068;0.069;0.07;0.071;0.069;0.428;0.422;0.42;0.07;0.071;0.07;0.07;0.071;0.071;0.07;0.072;0.561;0.57;0.556;0.067;0.068;0.071;0.07;0.069;0.07;0.611;0.535;0.577;0.068;0.071;0.07;0.07;0.069;0.07;0.07;0.069;0.608;0.604;0.613;0.069;0.07;0.07;0.069;0.068;0.073;0.651;0.65;0.617;0.067;0.067;0.07;0.07;0.069;0.068;0.067;0.068;0.505;0.514;0.496;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.069;0.067;0.082;0.067;0.066;0.067;0.068;0.068;0.069;0.087;0.692;0.684;0.682;0.067;0.069;0.068
19;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.07;0.07;0.072;0.071;0.07;0.071;0.505;0.455;0.485;0.067;0.069;0.068;0.069;0.069;0.069;0.07;0.071;0.562;0.557;0.56;0.069;0.07;0.07;0.07;0.07;0.068;0.428;0.426;0.424;0.069;0.071;0.069;0.071;0.07;0.071;0.07;0.071;0.581;0.563;0.577;0.068;0.068;0.071;0.07;0.069;0.07;0.62;0.52;0.588;0.069;0.072;0.07;0.07;0.07;0.071;0.071;0.071;0.577;0.548;0.568;0.069;0.072;0.07;0.069;0.069;0.072;0.633;0.612;0.592;0.068;0.067;0.071;0.07;0.069;0.07;0.068;0.07;0.514;0.509;0.496;0.066;0.068;0.065;0.064;0.065;0.066;0.067;0.071;0.067;0.082;0.067;0.068;0.068;0.069;0.068;0.069;0.083;0.695;0.687;0.705;0.067;0.068;0.068
19.25;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.07;0.069;0.069;0.069;0.069;0.07;0.509;0.457;0.491;0.067;0.069;0.067;0.069;0.069;0.067;0.07;0.07;0.596;0.585;0.588;0.068;0.07;0.07;0.069;0.071;0.068;0.427;0.422;0.42;0.07;0.07;0.069;0.071;0.069;0.071;0.07;0.071;0.598;0.577;0.573;0.068;0.068;0.071;0.07;0.069;0.069;0.617;0.532;0.59;0.068;0.072;0.071;0.07;0.07;0.071;0.07;0.071;0.585;0.562;0.585;0.069;0.071;0.071;0.069;0.069;0.072;0.691;0.683;0.661;0.067;0.067;0.07;0.069;0.069;0.069;0.067;0.07;0.521;0.521;0.51;0.066;0.068;0.065;0.065;0.065;0.066;0.067;0.07;0.067;0.083;0.066;0.067;0.067;0.068;0.068;0.068;0.085;0.715;0.703;0.715;0.067;0.069;0.069
19.5;0.068;0.07;0.069;0.07;0.07;0.07;0.068;0.067;0.067;0.069;0.069;0.068;0.07;0.071;0.07;0.07;0.53;0.474;0.515;0.067;0.069;0.067;0.069;0.07;0.069;0.071;0.07;0.629;0.636;0.62;0.068;0.067;0.069;0.069;0.07;0.068;0.425;0.42;0.418;0.07;0.07;0.069;0.07;0.07;0.069;0.069;0.071;0.587;0.595;0.572;0.068;0.068;0.071;0.069;0.069;0.07;0.613;0.539;0.579;0.068;0.072;0.072;0.07;0.07;0.07;0.07;0.07;0.587;0.579;0.585;0.068;0.07;0.069;0.069;0.068;0.072;0.667;0.669;0.631;0.067;0.066;0.069;0.069;0.069;0.068;0.067;0.068;0.511;0.522;0.498;0.066;0.068;0.065;0.064;0.064;0.066;0.066;0.07;0.067;0.082;0.067;0.067;0.067;0.069;0.068;0.068;0.084;0.7;0.692;0.695;0.067;0.068;0.069
19.75;0.068;0.07;0.069;0.071;0.071;0.072;0.068;0.068;0.067;0.07;0.07;0.068;0.072;0.072;0.071;0.071;0.556;0.502;0.54;0.067;0.069;0.067;0.069;0.068;0.069;0.071;0.07;0.658;0.665;0.65;0.068;0.068;0.069;0.07;0.071;0.068;0.425;0.42;0.418;0.07;0.071;0.069;0.07;0.071;0.07;0.07;0.072;0.582;0.589;0.561;0.068;0.068;0.071;0.07;0.069;0.07;0.613;0.537;0.58;0.068;0.071;0.07;0.07;0.07;0.07;0.07;0.069;0.593;0.584;0.58;0.069;0.07;0.07;0.069;0.068;0.073;0.675;0.677;0.641;0.068;0.067;0.07;0.07;0.07;0.069;0.068;0.068;0.511;0.522;0.496;0.067;0.069;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.083;0.067;0.067;0.067;0.068;0.069;0.068;0.083;0.688;0.681;0.688;0.068;0.069;0.069
20;0.068;0.071;0.069;0.07;0.07;0.071;0.067;0.067;0.067;0.07;0.069;0.067;0.069;0.068;0.068;0.07;0.569;0.532;0.575;0.067;0.069;0.067;0.067;0.069;0.067;0.069;0.069;0.679;0.694;0.676;0.068;0.068;0.069;0.069;0.07;0.069;0.424;0.421;0.418;0.07;0.071;0.069;0.07;0.071;0.069;0.07;0.072;0.607;0.616;0.584;0.067;0.067;0.071;0.069;0.069;0.07;0.629;0.557;0.598;0.068;0.07;0.07;0.07;0.07;0.07;0.07;0.069;0.604;0.595;0.611;0.069;0.07;0.07;0.069;0.068;0.073;0.691;0.687;0.648;0.068;0.067;0.07;0.07;0.069;0.068;0.067;0.068;0.531;0.548;0.536;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.083;0.067;0.067;0.067;0.068;0.068;0.069;0.084;0.708;0.697;0.707;0.068;0.069;0.068
20.25;0.068;0.07;0.069;0.07;0.07;0.071;0.067;0.067;0.067;0.069;0.069;0.067;0.069;0.069;0.069;0.07;0.603;0.544;0.552;0.067;0.069;0.067;0.069;0.07;0.068;0.069;0.07;0.692;0.699;0.681;0.068;0.067;0.069;0.07;0.071;0.069;0.423;0.417;0.416;0.07;0.071;0.07;0.071;0.072;0.07;0.07;0.072;0.584;0.593;0.552;0.068;0.068;0.071;0.07;0.069;0.07;0.616;0.543;0.586;0.068;0.071;0.071;0.07;0.07;0.07;0.07;0.07;0.589;0.576;0.6;0.069;0.071;0.07;0.069;0.068;0.073;0.65;0.636;0.597;0.067;0.067;0.07;0.069;0.069;0.068;0.067;0.068;0.491;0.5;0.483;0.066;0.069;0.065;0.064;0.064;0.066;0.067;0.07;0.067;0.083;0.067;0.067;0.067;0.068;0.069;0.068;0.086;0.708;0.7;0.717;0.067;0.068;0.068
20.5;0.068;0.071;0.069;0.071;0.071;0.072;0.068;0.067;0.067;0.069;0.07;0.069;0.071;0.071;0.07;0.07;0.59;0.544;0.588;0.067;0.068;0.067;0.071;0.071;0.07;0.072;0.071;0.701;0.721;0.696;0.068;0.067;0.068;0.069;0.07;0.068;0.422;0.417;0.416;0.071;0.07;0.069;0.07;0.071;0.069;0.07;0.071;0.606;0.607;0.559;0.067;0.067;0.071;0.07;0.069;0.07;0.64;0.56;0.602;0.068;0.071;0.071;0.071;0.071;0.07;0.07;0.07;0.628;0.61;0.631;0.068;0.07;0.07;0.069;0.068;0.072;0.691;0.688;0.646;0.067;0.066;0.07;0.07;0.069;0.067;0.067;0.068;0.532;0.542;0.527;0.066;0.068;0.065;0.064;0.064;0.066;0.067;0.07;0.067;0.083;0.067;0.066;0.067;0.068;0.068;0.068;0.087;0.73;0.716;0.727;0.067;0.069;0.069
20.75;0.068;0.071;0.069;0.07;0.071;0.071;0.067;0.067;0.067;0.069;0.07;0.068;0.071;0.071;0.07;0.071;0.638;0.589;0.604;0.067;0.069;0.067;0.07;0.07;0.069;0.071;0.07;0.695;0.718;0.699;0.068;0.067;0.069;0.069;0.071;0.068;0.421;0.417;0.416;0.07;0.071;0.07;0.07;0.071;0.07;0.07;0.072;0.606;0.613;0.561;0.068;0.068;0.071;0.07;0.069;0.07;0.623;0.568;0.603;0.068;0.072;0.072;0.07;0.07;0.07;0.07;0.07;0.625;0.611;0.635;0.069;0.07;0.069;0.068;0.068;0.073;0.658;0.669;0.624;0.068;0.067;0.07;0.07;0.069;0.069;0.068;0.069;0.515;0.525;0.511;0.066;0.069;0.065;0.065;0.065;0.066;0.067;0.071;0.075;0.088;0.067;0.067;0.067;0.068;0.068;0.068;0.086;0.711;0.692;0.703;0.067;0.069;0.069
21;0.068;0.07;0.069;0.07;0.07;0.071;0.067;0.067;0.067;0.069;0.07;0.068;0.068;0.068;0.068;0.07;0.642;0.605;0.617;0.068;0.069;0.067;0.067;0.068;0.067;0.069;0.07;0.702;0.727;0.702;0.068;0.068;0.069;0.069;0.07;0.068;0.421;0.417;0.414;0.07;0.071;0.07;0.069;0.07;0.07;0.07;0.071;0.603;0.612;0.555;0.068;0.067;0.071;0.07;0.069;0.07;0.639;0.566;0.608;0.069;0.071;0.071;0.07;0.07;0.07;0.07;0.069;0.62;0.605;0.616;0.068;0.07;0.07;0.069;0.068;0.073;0.688;0.687;0.649;0.068;0.067;0.07;0.07;0.069;0.069;0.068;0.068;0.515;0.526;0.511;0.067;0.068;0.065;0.065;0.065;0.066;0.066;0.07;0.067;0.082;0.067;0.067;0.067;0.068;0.07;0.069;0.085;0.708;0.694;0.719;0.068;0.068;0.069
21.25;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.07;0.067;0.069;0.069;0.069;0.07;0.616;0.598;0.612;0.068;0.069;0.066;0.068;0.069;0.069;0.07;0.07;0.726;0.723;0.714;0.068;0.069;0.069;0.069;0.07;0.068;0.42;0.417;0.414;0.07;0.069;0.069;0.07;0.07;0.07;0.07;0.07;0.608;0.599;0.557;0.068;0.069;0.071;0.07;0.07;0.07;0.637;0.558;0.622;0.069;0.073;0.071;0.07;0.07;0.07;0.071;0.07;0.617;0.589;0.611;0.068;0.071;0.07;0.069;0.069;0.072;0.664;0.654;0.624;0.067;0.066;0.07;0.07;0.069;0.069;0.067;0.069;0.497;0.495;0.481;0.066;0.068;0.065;0.064;0.065;0.066;0.066;0.07;0.066;0.083;0.066;0.067;0.067;0.068;0.068;0.069;0.085;0.714;0.699;0.721;0.067;0.068;0.068
21.5;0.067;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.071;0.068;0.07;0.069;0.069;0.07;0.6;0.626;0.644;0.067;0.068;0.067;0.069;0.069;0.068;0.069;0.07;0.726;0.732;0.713;0.068;0.069;0.069;0.069;0.07;0.068;0.42;0.416;0.414;0.07;0.069;0.069;0.07;0.07;0.07;0.07;0.07;0.624;0.606;0.559;0.068;0.068;0.07;0.069;0.069;0.07;0.633;0.558;0.605;0.068;0.072;0.069;0.069;0.069;0.07;0.07;0.07;0.586;0.554;0.581;0.069;0.071;0.07;0.069;0.069;0.072;0.69;0.688;0.653;0.068;0.066;0.07;0.07;0.068;0.07;0.067;0.071;0.504;0.504;0.495;0.066;0.068;0.065;0.064;0.064;0.066;0.067;0.07;0.067;0.083;0.066;0.067;0.067;0.067;0.068;0.068;0.086;0.708;0.683;0.694;0.067;0.067;0.069
21.75;0.068;0.07;0.069;0.07;0.07;0.07;0.067;0.067;0.067;0.069;0.07;0.067;0.069;0.069;0.069;0.07;0.61;0.627;0.643;0.068;0.069;0.067;0.069;0.069;0.069;0.071;0.069;0.725;0.752;0.723;0.068;0.067;0.069;0.069;0.07;0.068;0.418;0.414;0.412;0.07;0.071;0.069;0.071;0.072;0.069;0.07;0.072;0.606;0.602;0.567;0.068;0.068;0.071;0.07;0.069;0.07;0.613;0.566;0.582;0.07;0.071;0.071;0.07;0.071;0.07;0.07;0.07;0.588;0.572;0.598;0.069;0.07;0.07;0.069;0.068;0.073;0.69;0.692;0.644;0.068;0.067;0.07;0.07;0.069;0.068;0.068;0.068;0.513;0.527;0.506;0.066;0.069;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.083;0.067;0.067;0.067;0.068;0.068;0.069;0.085;0.729;0.713;0.735;0.067;0.068;0.069
22;0.076;0.082;0.085;0.082;0.075;0.084;0.078;0.077;0.073;0.069;0.088;0.083;0.075;0.071;0.07;0.074;0.615;0.597;0.617;0.072;0.077;0.077;0.08;0.084;0.083;0.083;0.077;0.735;0.751;0.73;0.066;0.066;0.067;0.07;0.074;0.072;0.424;0.417;0.418;0.074;0.068;0.068;0.069;0.07;0.068;0.068;0.07;0.585;0.575;0.55;0.066;0.066;0.069;0.068;0.067;0.068;0.569;0.533;0.545;0.067;0.07;0.07;0.068;0.069;0.068;0.068;0.068;0.598;0.583;0.616;0.067;0.068;0.068;0.067;0.066;0.07;0.656;0.653;0.605;0.066;0.065;0.068;0.068;0.067;0.066;0.065;0.066;0.489;0.501;0.485;0.065;0.067;0.063;0.063;0.063;0.064;0.064;0.069;0.065;0.079;0.065;0.065;0.065;0.066;0.066;0.066;0.084;0.699;0.677;0.68;0.066;0.066;0.066
22.25;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.071;0.068;0.069;0.069;0.069;0.07;0.592;0.593;0.612;0.067;0.068;0.067;0.068;0.069;0.067;0.069;0.07;0.744;0.732;0.746;0.068;0.069;0.069;0.069;0.07;0.068;0.416;0.412;0.41;0.07;0.07;0.07;0.07;0.071;0.07;0.07;0.071;0.59;0.558;0.542;0.068;0.068;0.071;0.07;0.069;0.069;0.576;0.524;0.546;0.068;0.071;0.07;0.07;0.07;0.07;0.07;0.07;0.589;0.555;0.607;0.068;0.071;0.07;0.068;0.068;0.071;0.658;0.644;0.617;0.067;0.066;0.07;0.069;0.068;0.069;0.067;0.069;0.486;0.491;0.486;0.066;0.068;0.065;0.065;0.064;0.066;0.067;0.07;0.067;0.082;0.066;0.066;0.067;0.067;0.068;0.068;0.085;0.705;0.683;0.696;0.068;0.07;0.069
22.5;0.068;0.07;0.069;0.07;0.07;0.07;0.067;0.067;0.067;0.069;0.071;0.068;0.07;0.07;0.069;0.069;0.581;0.567;0.605;0.067;0.069;0.067;0.069;0.069;0.068;0.071;0.069;0.735;0.735;0.729;0.068;0.068;0.069;0.069;0.069;0.068;0.415;0.411;0.408;0.07;0.071;0.069;0.07;0.071;0.07;0.07;0.071;0.539;0.524;0.51;0.067;0.067;0.071;0.069;0.069;0.069;0.527;0.495;0.496;0.067;0.072;0.071;0.07;0.07;0.07;0.07;0.07;0.549;0.535;0.569;0.068;0.07;0.07;0.069;0.068;0.072;0.629;0.62;0.572;0.067;0.067;0.07;0.069;0.069;0.069;0.067;0.067;0.473;0.483;0.466;0.066;0.069;0.065;0.064;0.064;0.066;0.066;0.07;0.067;0.081;0.067;0.066;0.067;0.068;0.068;0.068;0.086;0.691;0.664;0.662;0.067;0.067;0.069
22.75;0.068;0.071;0.069;0.07;0.069;0.071;0.067;0.067;0.067;0.069;0.071;0.068;0.07;0.069;0.07;0.071;0.585;0.565;0.588;0.067;0.068;0.067;0.068;0.068;0.068;0.07;0.071;0.755;0.754;0.755;0.068;0.069;0.069;0.07;0.069;0.068;0.414;0.412;0.409;0.07;0.07;0.07;0.07;0.07;0.071;0.07;0.071;0.588;0.563;0.543;0.068;0.069;0.071;0.07;0.069;0.07;0.584;0.534;0.55;0.068;0.073;0.071;0.07;0.07;0.071;0.07;0.07;0.62;0.597;0.634;0.069;0.072;0.071;0.069;0.069;0.072;0.682;0.678;0.647;0.068;0.067;0.07;0.069;0.068;0.069;0.067;0.07;0.5;0.501;0.502;0.066;0.068;0.066;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.067;0.067;0.067;0.068;0.068;0.068;0.083;0.696;0.667;0.686;0.068;0.069;0.069
23;0.068;0.071;0.069;0.07;0.071;0.071;0.068;0.068;0.067;0.069;0.07;0.067;0.07;0.069;0.069;0.07;0.581;0.546;0.581;0.066;0.069;0.067;0.068;0.068;0.068;0.07;0.07;0.739;0.75;0.739;0.068;0.067;0.069;0.07;0.069;0.068;0.415;0.41;0.408;0.07;0.071;0.069;0.07;0.069;0.069;0.07;0.072;0.574;0.567;0.512;0.067;0.068;0.071;0.069;0.069;0.07;0.588;0.542;0.553;0.068;0.073;0.071;0.071;0.07;0.07;0.07;0.07;0.58;0.568;0.594;0.068;0.071;0.07;0.069;0.068;0.072;0.651;0.647;0.607;0.068;0.067;0.07;0.07;0.07;0.069;0.067;0.068;0.474;0.484;0.464;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.067;0.067;0.067;0.068;0.068;0.068;0.082;0.694;0.673;0.684;0.068;0.068;0.069
23.25;0.068;0.07;0.069;0.07;0.07;0.07;0.067;0.067;0.067;0.069;0.071;0.067;0.07;0.069;0.07;0.07;0.567;0.531;0.57;0.067;0.07;0.067;0.069;0.068;0.068;0.07;0.068;0.757;0.777;0.774;0.067;0.068;0.068;0.07;0.069;0.069;0.415;0.41;0.407;0.07;0.07;0.069;0.069;0.069;0.068;0.07;0.071;0.573;0.56;0.534;0.067;0.068;0.071;0.069;0.069;0.07;0.57;0.534;0.537;0.068;0.071;0.07;0.07;0.069;0.07;0.07;0.069;0.584;0.578;0.61;0.068;0.07;0.07;0.069;0.067;0.072;0.664;0.659;0.619;0.067;0.066;0.07;0.069;0.069;0.067;0.067;0.067;0.49;0.507;0.488;0.066;0.068;0.065;0.064;0.064;0.066;0.066;0.07;0.066;0.081;0.067;0.067;0.067;0.068;0.068;0.068;0.084;0.716;0.689;0.705;0.067;0.068;0.069
23.5;0.068;0.071;0.069;0.071;0.07;0.071;0.067;0.067;0.067;0.069;0.071;0.068;0.071;0.068;0.071;0.069;0.562;0.545;0.567;0.067;0.068;0.066;0.069;0.068;0.069;0.069;0.07;0.778;0.775;0.781;0.068;0.069;0.069;0.069;0.069;0.068;0.414;0.41;0.407;0.07;0.07;0.07;0.07;0.069;0.069;0.07;0.071;0.591;0.569;0.551;0.068;0.069;0.071;0.069;0.069;0.07;0.594;0.53;0.554;0.068;0.073;0.07;0.07;0.069;0.071;0.07;0.07;0.628;0.609;0.638;0.069;0.071;0.07;0.069;0.069;0.072;0.676;0.656;0.627;0.068;0.067;0.07;0.07;0.069;0.07;0.067;0.07;0.506;0.513;0.501;0.066;0.068;0.066;0.064;0.065;0.066;0.067;0.07;0.068;0.084;0.066;0.067;0.067;0.068;0.068;0.067;0.083;0.703;0.67;0.688;0.067;0.068;0.068
23.75;0.068;0.071;0.069;0.071;0.071;0.071;0.068;0.067;0.067;0.07;0.07;0.067;0.069;0.068;0.068;0.07;0.569;0.535;0.563;0.067;0.069;0.066;0.067;0.068;0.068;0.069;0.07;0.764;0.775;0.779;0.068;0.067;0.068;0.069;0.069;0.068;0.413;0.408;0.406;0.071;0.072;0.07;0.071;0.071;0.069;0.07;0.072;0.582;0.577;0.543;0.067;0.068;0.071;0.069;0.069;0.07;0.584;0.527;0.545;0.07;0.071;0.07;0.07;0.07;0.07;0.07;0.069;0.581;0.572;0.598;0.069;0.07;0.07;0.069;0.068;0.072;0.66;0.65;0.611;0.068;0.067;0.07;0.07;0.069;0.068;0.067;0.068;0.503;0.517;0.493;0.066;0.068;0.065;0.064;0.065;0.066;0.067;0.07;0.067;0.082;0.067;0.067;0.067;0.068;0.069;0.068;0.086;0.712;0.687;0.7;0.067;0.069;0.069
24;0.068;0.07;0.069;0.07;0.071;0.07;0.068;0.067;0.067;0.069;0.071;0.067;0.069;0.07;0.07;0.07;0.583;0.551;0.591;0.066;0.068;0.067;0.067;0.068;0.068;0.071;0.07;0.759;0.777;0.769;0.068;0.068;0.068;0.07;0.069;0.068;0.412;0.408;0.405;0.07;0.071;0.069;0.071;0.072;0.069;0.07;0.071;0.569;0.555;0.496;0.067;0.068;0.071;0.069;0.069;0.07;0.567;0.524;0.526;0.068;0.072;0.071;0.071;0.07;0.07;0.07;0.07;0.608;0.597;0.625;0.068;0.07;0.07;0.069;0.068;0.072;0.635;0.629;0.594;0.068;0.067;0.07;0.069;0.069;0.068;0.067;0.067;0.475;0.49;0.464;0.066;0.069;0.065;0.065;0.064;0.066;0.066;0.07;0.067;0.081;0.067;0.067;0.067;0.068;0.068;0.067;0.084;0.706;0.679;0.688;0.068;0.069;0.068
24.25;0.068;0.071;0.069;0.07;0.07;0.071;0.068;0.067;0.067;0.07;0.071;0.069;0.071;0.071;0.07;0.07;0.604;0.573;0.609;0.067;0.069;0.067;0.07;0.07;0.069;0.071;0.07;0.784;0.804;0.791;0.068;0.069;0.069;0.07;0.069;0.069;0.411;0.408;0.404;0.07;0.071;0.07;0.07;0.072;0.07;0.071;0.072;0.596;0.595;0.551;0.067;0.068;0.071;0.069;0.069;0.07;0.589;0.523;0.536;0.069;0.071;0.07;0.071;0.071;0.07;0.071;0.07;0.613;0.599;0.627;0.069;0.07;0.07;0.069;0.068;0.072;0.646;0.635;0.605;0.068;0.067;0.07;0.07;0.068;0.067;0.067;0.068;0.485;0.504;0.481;0.066;0.068;0.065;0.065;0.065;0.067;0.067;0.07;0.067;0.082;0.067;0.067;0.067;0.067;0.068;0.067;0.084;0.693;0.668;0.674;0.068;0.069;0.069
24.5;0.068;0.07;0.069;0.07;0.07;0.071;0.067;0.067;0.067;0.069;0.07;0.068;0.071;0.07;0.068;0.07;0.596;0.559;0.59;0.066;0.069;0.066;0.07;0.069;0.068;0.07;0.069;0.787;0.807;0.791;0.068;0.068;0.069;0.07;0.069;0.069;0.411;0.406;0.404;0.07;0.071;0.069;0.071;0.07;0.071;0.07;0.071;0.586;0.582;0.545;0.067;0.067;0.071;0.069;0.069;0.07;0.574;0.516;0.531;0.069;0.072;0.072;0.071;0.071;0.07;0.07;0.07;0.621;0.606;0.632;0.069;0.07;0.07;0.069;0.068;0.072;0.644;0.629;0.6;0.068;0.067;0.07;0.07;0.069;0.069;0.067;0.068;0.483;0.5;0.476;0.066;0.068;0.065;0.064;0.064;0.066;0.066;0.07;0.067;0.082;0.067;0.067;0.067;0.068;0.068;0.067;0.083;0.698;0.674;0.681;0.068;0.069;0.068
